GOCI2_Latitude,GOCI2_Longitude,Himawari_Latitude,Himawari_Longitude,Chlorophyll,Albedo_01,Albedo_02,Albedo_03,Albedo_04
30.95797,133.96005,30.960001,133.96,0.15110847,0.1278,0.089099996,0.0392,0.0184
27.090979,133.8414,27.09,133.84,0.09196328,0.1236,0.087299995,0.043399997,0.0309
31.216957,137.87961,31.220001,137.88,0.21074413,0.1034,0.0689,0.0254,0.0095
35.220257,143.02583,35.22,143.03,0.1181113,0.114099994,0.0731,0.026999999,0.0089
31.518126,125.30379,31.52,125.3,0.48745224,0.1533,0.117699996,0.0823,0.060599998
27.11153,129.27022,27.11,129.27,0.09711575,0.1515,0.124199994,0.076799996,0.081999995
25.343807,125.23308,25.34,125.23,0.12523143,0.15089999,0.1135,0.067099996,0.0713
29.036741,123.96799,29.04,123.97,0.41052505,0.1444,0.111099996,0.061899997,0.050499998
34.835052,142.23987,34.84,142.24,0.15509139,0.114099994,0.0761,0.029099999,0.0137
32.48712,137.02081,32.489998,137.02,0.18558882,0.1046,0.070099995,0.0257,0.0106999995
26.554144,127.18192,26.550001,127.18,0.110691786,0.1147,0.0778,0.031799998,0.015999999
28.232718,123.835,28.23,123.83,0.29102638,0.11229999,0.0784,0.0327,0.0149
32.112118,140.67186,32.11,140.67,0.106499925,0.1135,0.0743,0.0279,0.0089
28.968676,133.31067,28.970001,133.31,0.118538976,0.114099994,0.0743,0.029,0.0106999995
34.61647,134.49657,34.62,134.5,1.109464,0.1147,0.0832,0.0371,0.0196
25.009727,139.68347,25.01,139.68,0.072519876,0.1129,0.0749,0.028199999,0.0137
30.46174,135.77257,30.460001,135.77,0.10668812,0.107,0.070099995,0.026099999,0.0095
37.25977,136.53659,37.260002,136.54,0.28128886,0.1414,0.1064,0.056199998,0.0321
29.498737,135.3994,29.5,135.4,0.082171194,0.11229999,0.073699996,0.027199998,0.011899999
26.184538,135.21924,26.18,135.22,0.060452536,0.11229999,0.0725,0.0273,0.0131
24.183426,138.61404,24.18,138.61,0.0687854,0.114099994,0.0749,0.0316,0.015999999
30.22428,123.800575,30.220001,123.8,0.34445438,0.1236,0.087299995,0.04,0.0202
24.5249,136.78699,24.52,136.79,0.08712011,0.105799995,0.0689,0.025799999,0.011899999
34.801956,141.83524,34.8,141.84,0.13935757,0.1105,0.0725,0.0264,0.0089
31.575283,129.38225,31.58,129.38,0.2739402,0.1188,0.0844,0.0365,0.0184
31.773323,129.45302,31.77,129.45,0.2982396,0.12,0.083799995,0.037699997,0.017199999
39.852787,131.53552,39.85,131.54,0.47766095,0.1557,0.117699996,0.0729,0.055299997
33.263744,141.53882,33.260002,141.54,0.11899329,0.1153,0.0814,0.033999998,0.0178
32.59499,126.085884,32.59,126.09,0.50895524,0.1182,0.083799995,0.0413,0.022
34.272663,125.260925,34.27,125.26,0.97313887,0.1171,0.0862,0.0339,0.0137
31.310316,128.61707,31.31,128.62,0.21725528,0.1099,0.076699995,0.031,0.0137
34.986156,140.66449,34.99,140.66,0.5579613,0.105799995,0.0749,0.0284,0.0101
26.326693,129.81647,26.33,129.82,0.096449375,0.1129,0.0749,0.0297,0.011899999
27.636925,124.14343,27.640001,124.14,0.2662697,0.1087,0.076699995,0.031,0.0131
30.691666,128.76404,30.69,128.76,0.22288254,0.109299995,0.0749,0.029,0.012499999
33.72765,128.46861,33.73,128.47,0.3075303,0.1278,0.0909,0.0499,0.022
31.92817,132.29468,31.93,132.29,0.21134411,0.121199995,0.083799995,0.0361,0.015999999
31.927456,129.20511,31.93,129.21,0.2741949,0.14199999,0.1165,0.061699998,0.044
38.4926,142.51617,38.49,142.52,0.36254352,0.1313,0.093899995,0.0435,0.023799999
41.950047,135.4078,41.95,135.41,0.3750037,0.1218,0.085,0.041699998,0.0184
33.770477,141.24767,33.77,141.25,0.107333064,0.111099996,0.0731,0.0273,0.0089
29.31695,132.83209,29.32,132.83,0.1335505,0.1182,0.0802,0.0337,0.0154
29.4022,131.84535,29.4,131.85,0.15303154,0.121199995,0.0826,0.0357,0.0178
26.73348,138.43037,26.730001,138.43,0.09179592,0.121199995,0.081999995,0.0382,0.0244
38.37318,143.40074,38.37,143.4,0.3172383,0.114099994,0.0796,0.031,0.012499999
46.212986,138.60999,46.21,138.61,0.54827607,0.1379,0.0998,0.045199998,0.021399999
37.59562,142.56036,37.6,142.56,0.3330636,0.1135,0.078999996,0.031,0.0137
27.079477,131.07645,27.08,131.08,0.082693554,0.1581,0.1218,0.0835,0.071899995
29.716175,134.5151,29.720001,134.52,0.14351314,0.1462,0.1046,0.0569,0.033299997
28.118156,141.31146,28.12,141.31,0.08172794,0.107599996,0.0683,0.0254,0.0089
28.530376,126.76574,28.53,126.77,0.15631478,0.1147,0.085,0.036199998,0.0285
31.512045,139.04303,31.51,139.04,0.13123435,0.1206,0.081999995,0.039699998,0.0244
24.393124,128.6252,24.390001,128.63,0.09956692,0.117699996,0.078999996,0.0325,0.0166
33.199974,141.84148,33.2,141.84,0.12147426,0.1087,0.0707,0.025799999,0.0095
24.736506,135.56767,24.74,135.57,0.023536488,0.1105,0.0707,0.028199999,0.011899999
33.26314,140.07887,33.260002,140.08,0.13543293,0.121199995,0.081999995,0.0379,0.0244
37.916637,129.29807,37.92,129.3,0.59345794,0.114099994,0.0814,0.0343,0.015999999
27.482782,126.68596,27.480001,126.69,0.104168676,0.111099996,0.073699996,0.0279,0.011899999
32.5358,133.78934,32.54,133.79,0.19725476,0.3078,0.2579,0.20279999,0.2145
26.998417,131.14622,27.0,131.15,0.10512173,0.12539999,0.0862,0.0385,0.0208
30.147064,123.86069,30.15,123.86,0.3235687,0.124199994,0.0897,0.041899998,0.022
24.105064,130.8172,24.11,130.82,0.09198565,0.139,0.1046,0.053299997,0.0541
32.03992,139.29979,32.04,139.3,0.1325005,0.107,0.0707,0.0264,0.0077
28.481842,128.83891,28.48,128.84,0.1212047,0.1165,0.078999996,0.036,0.0196
36.596996,123.66877,36.6,123.67,0.5607201,0.1313,0.0963,0.0446,0.0232
26.484047,131.49258,26.480001,131.49,0.080554895,0.12,0.083799995,0.038,0.0154
33.33286,142.74055,33.33,142.74,0.10799695,0.1087,0.0707,0.0254,0.0071
30.426746,141.0546,30.43,141.05,0.08115126,0.114099994,0.0743,0.028199999,0.011299999
32.63799,123.006676,32.64,123.01,1.6110531,0.12539999,0.0933,0.044299997,0.022
